"","P(Alpha>AT)","Information Ratio","P(Alpha<0|12M)","Batting Avg","P(Alpha<-5|12M)"
"1",0.697297297297297,0.446255359733221,0.291866028708134,-0.00591080808752377,0.0239234449760766
"2",0.708108108108108,0.414341898178318,0.30622009569378,-0.00625477326798957,0.0287081339712919
"3",0.724324324324324,0.433288626367673,0.291866028708134,-0.00603453605707385,0.0239234449760766
"4",0.67027027027027,0.41296745628413,0.296650717703349,-0.00620966805412738,0.0287081339712919
"5",0.697297297297297,0.448576601415057,0.301435406698565,-0.00589850762787854,0.0239234449760766
"6",0.735135135135135,0.44082776474954,0.311004784688995,-0.00601049575093376,0.0239234449760766
"7",0.735135135135135,0.437286538092424,0.30622009569378,-0.00602455041928413,0.0239234449760766
"8",0.735135135135135,0.441948722572455,0.311004784688995,-0.00598412160205818,0.0239234449760766
"9",0.713513513513514,0.418291821751139,0.30622009569378,-0.00621045092140313,0.0287081339712919
"10",0.675675675675676,0.402054228942852,0.30622009569378,-0.00633628096062245,0.0287081339712919
"11",0.708108108108108,0.434059404586243,0.296650717703349,-0.0060231119319955,0.0239234449760766
"12",0.697297297297297,0.414391694264296,0.30622009569378,-0.00622730035431747,0.0287081339712919
"13",0.718918918918919,0.445629703954018,0.296650717703349,-0.00591768522287461,0.0239234449760766
"14",0.691891891891892,0.401917875280563,0.311004784688995,-0.00637386123333431,0.0287081339712919
"15",0.708108108108108,0.433964170775475,0.296650717703349,-0.00602030891995366,0.0239234449760766
"16",0.708108108108108,0.397836135415426,0.30622009569378,-0.00650024088413497,0.0287081339712919
"17",0.708108108108108,0.434137130719039,0.296650717703349,-0.00602257786732199,0.0239234449760766
"18",0.708108108108108,0.454170286828924,0.287081339712919,-0.00584104605610944,0.0239234449760766
"19",0.664864864864865,0.418031651586795,0.296650717703349,-0.0061599402951972,0.0239234449760766
"20",0.72972972972973,0.421092021515037,0.296650717703349,-0.00623163927776197,0.0287081339712919
"21",0.686486486486486,0.432696413481247,0.287081339712919,-0.00603131059262513,0.0239234449760766
"22",0.72972972972973,0.4457394034675,0.301435406698565,-0.0059189060161088,0.0239234449760766
"23",0.702702702702703,0.451195194577296,0.287081339712919,-0.00586784469362639,0.0239234449760766
"24",0.691891891891892,0.402239568202449,0.311004784688995,-0.00635004962750159,0.0287081339712919
"25",0.708108108108108,0.43729093007095,0.301435406698565,-0.00598957991674525,0.0239234449760766
"26",0.724324324324324,0.444571628083614,0.296650717703349,-0.0059279123199509,0.0239234449760766
"27",0.691891891891892,0.44576251591409,0.296650717703349,-0.0059213988153764,0.0239234449760766
"28",0.72972972972973,0.421225505357094,0.296650717703349,-0.00626821555542659,0.0287081339712919
