"","P(Alpha>AT)","Information Ratio","P(Alpha<0|12M)","Batting Avg","P(Alpha<-5|12M)"
"1",0.72972972972973,0.433562791603071,0.30622009569378,-0.00609811211147473,0.0287081339712919
"2",0.8,0.534750957557364,0.291866028708134,-0.00614589899697362,0.0334928229665072
"3",0.475675675675676,0.204712006669704,0.421052631578947,-0.00961522334021067,0.0382775119617225
"4",0.589189189189189,0.356304123337122,0.363636363636364,-0.0082964349379812,0.0334928229665072
"5",0.378378378378378,0.00624790666824655,0.449760765550239,-0.0152071858625254,0.114832535885167
"6",0.65945945945946,0.263362491389363,0.37799043062201,-0.00980989182977619,0.0382775119617225
"7",0.432432432432432,0.0557414828123527,0.435406698564593,-0.0148721042942482,0.100478468899522
"8",0.540540540540541,0.230622341406037,0.397129186602871,-0.00968134591691618,0.0382775119617225
"9",0.632432432432432,0.371593159701207,0.363636363636364,-0.00896056928212405,0.0334928229665072
"10",0.427027027027027,0.0095594556153248,0.449760765550239,-0.0185301739811372,0.162679425837321
"11",0.491891891891892,0.131239384811956,0.449760765550239,-0.0141478516222211,0.100478468899522
"12",0.589189189189189,0.353342730588801,0.37799043062201,-0.00788200028744491,0.0334928229665072
"13",0.718918918918919,0.463723133099366,0.354066985645933,-0.00784868374554441,0.0287081339712919
"14",0.583783783783784,0.306280595828513,0.368421052631579,-0.00776006277194634,0.0287081339712919
"15",0.735135135135135,0.470148414582182,0.363636363636364,-0.00898851827078486,0.0430622009569378
"16",0.410810810810811,-0.0267008363997634,0.435406698564593,-0.0166340830560225,0.124401913875598
"17",0.491891891891892,0.181551571562718,0.416267942583732,-0.0120393483121971,0.0526315789473684
"18",0.427027027027027,0.0411185264362693,0.425837320574163,-0.0157689108428445,0.114832535885167
"19",0.497297297297297,0.202590995609094,0.411483253588517,-0.0113304252651811,0.0382775119617225
"20",0.724324324324324,0.482894633023431,0.354066985645933,-0.0078965328259629,0.0334928229665072
"21",0.583783783783784,0.356018494759801,0.330143540669856,-0.00673717312413932,0.0334928229665072
"22",0.45945945945946,0.103793606473592,0.425837320574163,-0.0141413885053544,0.100478468899522
"23",0.627027027027027,0.230955152070576,0.38755980861244,-0.0109317976456309,0.0478468899521531
"24",0.762162162162162,0.507400101918526,0.325358851674641,-0.00645252636646384,0.0287081339712919
"25",0.432432432432432,0.0688987811420908,0.454545454545455,-0.0135834163353429,0.076555023923445
"26",0.8,0.535354362534727,0.291866028708134,-0.00630196789545741,0.0334928229665072
"27",0.789189189189189,0.529070272290775,0.31578947368421,-0.00749745525290152,0.0334928229665072
"28",0.45945945945946,0.0964069032596528,0.464114832535885,-0.0136704166489621,0.0717703349282297
"29",0.410810810810811,-0.0245016995257829,0.45933014354067,-0.0201614927772071,0.181818181818182
"30",0.648648648648649,0.397032675258408,0.368421052631579,-0.00885035810261797,0.0334928229665072
"31",0.767567567567568,0.513058144532313,0.325358851674641,-0.00858223704718672,0.0334928229665072
"32",0.74054054054054,0.477417660305113,0.311004784688995,-0.00582549449823341,0.0239234449760766
"33",0.74054054054054,0.493438386292144,0.349282296650718,-0.00756047036191453,0.0334928229665072
"34",0.491891891891892,0.0706220473168761,0.483253588516746,-0.0163201231805766,0.143540669856459
"35",0.491891891891892,0.112481402798267,0.45933014354067,-0.0146874256652027,0.119617224880383
"36",0.448648648648649,0.136679839065048,0.440191387559809,-0.0113165043752718,0.062200956937799
"37",0.789189189189189,0.523016525984812,0.263157894736842,-0.00547167734171476,0.0334928229665072
"38",0.708108108108108,0.458467588863591,0.296650717703349,-0.00582253050116085,0.0239234449760766
"39",0.713513513513514,0.432481858758002,0.363636363636364,-0.00894043218651979,0.0334928229665072
"40",0.416216216216216,0.0202201456587497,0.454545454545455,-0.0172889519176565,0.138755980861244
"41",0.421621621621622,0.0894177131665506,0.444976076555024,-0.0126269641002948,0.0669856459330144
"42",0.648648648648649,0.3943345275114,0.363636363636364,-0.00920188524202834,0.0334928229665072
"43",0.756756756756757,0.499246254093461,0.339712918660287,-0.00836753182843894,0.0334928229665072
"44",0.491891891891892,0.227429947586761,0.421052631578947,-0.00974673766505038,0.0382775119617225
"45",0.589189189189189,0.250222680604838,0.397129186602871,-0.00957602454744532,0.0382775119617225
"46",0.551351351351351,0.30333968310567,0.368421052631579,-0.00757101801072938,0.0334928229665072
"47",0.751351351351351,0.505626605171256,0.339712918660287,-0.00770891858852516,0.0334928229665072
"48",0.4,-0.0862423079273064,0.464114832535885,-0.0240021900409426,0.220095693779904
"49",0.583783783783784,0.323209141564324,0.382775119617225,-0.00861121610252944,0.0334928229665072
"50",0.416216216216216,-0.0174537341610453,0.4688995215311,-0.0190258421002503,0.172248803827751
"51",0.535135135135135,0.242881891048428,0.38755980861244,-0.00912878651852253,0.0382775119617225
"52",0.464864864864865,0.137853577401163,0.444976076555024,-0.0119960184188391,0.0382775119617225
"53",0.789189189189189,0.527464885533049,0.325358851674641,-0.00684996714787381,0.0334928229665072
"54",0.589189189189189,0.29611101688468,0.382775119617225,-0.0106156267642709,0.0334928229665072
"55",0.718918918918919,0.357984943029702,0.339712918660287,-0.00774094287105375,0.0334928229665072
"56",0.702702702702703,0.452729782096254,0.334928229665072,-0.00660625348498227,0.0287081339712919
"57",0.664864864864865,0.354246902299589,0.334928229665072,-0.00711756149861556,0.0287081339712919
"58",0.475675675675676,0.0505910558697327,0.449760765550239,-0.0177681257027703,0.15311004784689
"59",0.632432432432432,0.367205897536768,0.31578947368421,-0.00669767244339087,0.0287081339712919
"60",0.67027027027027,0.306727314597008,0.37799043062201,-0.00846224706304454,0.0334928229665072
"61",0.502702702702703,0.147881140905661,0.430622009569378,-0.0131994602288847,0.076555023923445
"62",0.551351351351351,0.173355764877183,0.421052631578947,-0.0128225596268501,0.0717703349282297
"63",0.502702702702703,0.201761629974435,0.411483253588517,-0.0114584538893478,0.0430622009569378
"64",0.481081081081081,0.173451293806417,0.430622009569378,-0.0118023238794746,0.0430622009569378
"65",0.389189189189189,-0.0750648770385425,0.464114832535885,-0.0216487853189214,0.196172248803828
"66",0.486486486486487,0.230665119100275,0.397129186602871,-0.00920763849746658,0.0382775119617225
"67",0.475675675675676,0.16090753122366,0.440191387559809,-0.0111152327252574,0.0382775119617225
"68",0.783783783783784,0.520081364793659,0.258373205741627,-0.00550284090239611,0.0334928229665072
"69",0.697297297297297,0.445650223439606,0.330143540669856,-0.00600900679825308,0.0239234449760766
"70",0.702702702702703,0.452773755820766,0.349282296650718,-0.00603832019474255,0.0239234449760766
"71",0.74054054054054,0.408409127497124,0.330143540669856,-0.00736749281982715,0.0334928229665072
"72",0.454054054054054,0.150409263334232,0.435406698564593,-0.01095068443887,0.0574162679425837
